daily_closing_price,time
0.183506,2022-07-21 00:00:00.000 UTC
0.179287,2022-07-22 00:00:00.000 UTC
0.18372,2022-07-23 00:00:00.000 UTC
0.183811,2022-07-24 00:00:00.000 UTC
0.170052,2022-07-25 00:00:00.000 UTC
0.178126,2022-07-26 00:00:00.000 UTC
0.187429,2022-07-27 00:00:00.000 UTC
0.191128,2022-07-28 00:00:00.000 UTC
0.200268,2022-07-29 00:00:00.000 UTC
0.203662,2022-07-30 00:00:00.000 UTC
0.194906,2022-07-31 00:00:00.000 UTC
0.200054,2022-08-01 00:00:00.000 UTC
0.186449,2022-08-02 00:00:00.000 UTC
0.190452,2022-08-03 00:00:00.000 UTC
0.19547,2022-08-04 00:00:00.000 UTC
0.207546,2022-08-05 00:00:00.000 UTC
0.206715,2022-08-06 00:00:00.000 UTC
0.2034,2022-08-07 00:00:00.000 UTC
0.213563,2022-08-08 00:00:00.000 UTC
0.218669,2022-08-09 00:00:00.000 UTC
0.229838,2022-08-10 00:00:00.000 UTC
0.228818,2022-08-11 00:00:00.000 UTC
0.22321,2022-08-12 00:00:00.000 UTC
0.2246,2022-08-13 00:00:00.000 UTC
0.213513,2022-08-14 00:00:00.000 UTC
0.208266,2022-08-15 00:00:00.000 UTC
0.204609,2022-08-16 00:00:00.000 UTC
0.190125,2022-08-17 00:00:00.000 UTC
0.183284,2022-08-18 00:00:00.000 UTC
0.166104,2022-08-19 00:00:00.000 UTC
0.165247,2022-08-20 00:00:00.000 UTC
0.175413,2022-08-21 00:00:00.000 UTC
0.167154,2022-08-22 00:00:00.000 UTC
0.170452,2022-08-23 00:00:00.000 UTC
0.169505,2022-08-24 00:00:00.000 UTC
0.171031,2022-08-25 00:00:00.000 UTC
0.15284,2022-08-26 00:00:00.000 UTC
0.154169,2022-08-27 00:00:00.000 UTC
0.153562,2022-08-28 00:00:00.000 UTC
0.165319,2022-08-29 00:00:00.000 UTC
0.160773,2022-08-30 00:00:00.000 UTC
0.161866,2022-08-31 00:00:00.000 UTC
0.168673,2022-09-01 00:00:00.000 UTC
0.161147,2022-09-02 00:00:00.000 UTC
0.162229,2022-09-03 00:00:00.000 UTC
0.163525,2022-09-04 00:00:00.000 UTC
0.167636,2022-09-05 00:00:00.000 UTC
0.160307,2022-09-06 00:00:00.000 UTC
0.181025,2022-09-07 00:00:00.000 UTC
0.17251,2022-09-08 00:00:00.000 UTC
0.180079,2022-09-09 00:00:00.000 UTC
0.182596,2022-09-10 00:00:00.000 UTC
0.18104,2022-09-11 00:00:00.000 UTC
0.178702,2022-09-12 00:00:00.000 UTC
0.161188,2022-09-13 00:00:00.000 UTC
0.162537,2022-09-14 00:00:00.000 UTC
0.155855,2022-09-15 00:00:00.000 UTC
0.157562,2022-09-16 00:00:00.000 UTC
0.161534,2022-09-17 00:00:00.000 UTC
0.150905,2022-09-18 00:00:00.000 UTC
0.155739,2022-09-19 00:00:00.000 UTC
0.157519,2022-09-20 00:00:00.000 UTC
0.147324,2022-09-21 00:00:00.000 UTC
0.161661,2022-09-22 00:00:00.000 UTC
0.155952,2022-09-23 00:00:00.000 UTC
0.160673,2022-09-24 00:00:00.000 UTC
0.161163,2022-09-25 00:00:00.000 UTC
0.159973,2022-09-26 00:00:00.000 UTC
0.157514,2022-09-27 00:00:00.000 UTC
0.15536,2022-09-28 00:00:00.000 UTC
0.156862,2022-09-29 00:00:00.000 UTC
0.160757,2022-09-30 00:00:00.000 UTC
0.158757,2022-10-01 00:00:00.000 UTC
0.150857,2022-10-02 00:00:00.000 UTC
0.15415,2022-10-03 00:00:00.000 UTC
0.15741,2022-10-04 00:00:00.000 UTC
0.15623,2022-10-05 00:00:00.000 UTC
0.154567,2022-10-06 00:00:00.000 UTC
0.161802,2022-10-07 00:00:00.000 UTC
0.159292,2022-10-08 00:00:00.000 UTC
0.162259,2022-10-09 00:00:00.000 UTC
0.154595,2022-10-10 00:00:00.000 UTC
0.153392,2022-10-11 00:00:00.000 UTC
0.154527,2022-10-12 00:00:00.000 UTC
0.151307,2022-10-13 00:00:00.000 UTC
0.148012,2022-10-14 00:00:00.000 UTC
0.14715,2022-10-15 00:00:00.000 UTC
0.150303,2022-10-16 00:00:00.000 UTC
0.15262,2022-10-17 00:00:00.000 UTC
0.168196,2022-10-18 00:00:00.000 UTC
0.165051,2022-10-19 00:00:00.000 UTC
0.165607,2022-10-20 00:00:00.000 UTC
0.160687,2022-10-21 00:00:00.000 UTC
0.158506,2022-10-22 00:00:00.000 UTC
0.16422,2022-10-23 00:00:00.000 UTC
0.159309,2022-10-24 00:00:00.000 UTC
0.165449,2022-10-25 00:00:00.000 UTC
0.168157,2022-10-26 00:00:00.000 UTC
0.180055,2022-10-27 00:00:00.000 UTC
0.181539,2022-10-28 00:00:00.000 UTC
0.185994,2022-10-29 00:00:00.000 UTC
0.177362,2022-10-30 00:00:00.000 UTC
0.172996,2022-10-31 00:00:00.000 UTC
0.167424,2022-11-01 00:00:00.000 UTC
0.17246,2022-11-02 00:00:00.000 UTC
0.23063,2022-11-03 00:00:00.000 UTC
0.234504,2022-11-04 00:00:00.000 UTC
0.245963,2022-11-05 00:00:00.000 UTC
0.218917,2022-11-06 00:00:00.000 UTC
0.235305,2022-11-07 00:00:00.000 UTC
0.160029,2022-11-08 00:00:00.000 UTC
0.124186,2022-11-09 00:00:00.000 UTC
0.146372,2022-11-10 00:00:00.000 UTC
0.141841,2022-11-11 00:00:00.000 UTC
0.129791,2022-11-12 00:00:00.000 UTC
0.131214,2022-11-13 00:00:00.000 UTC
0.137458,2022-11-14 00:00:00.000 UTC
0.137355,2022-11-15 00:00:00.000 UTC
0.133169,2022-11-16 00:00:00.000 UTC
